response_id,enrollment_id,survey_date,survey_type,satisfaction,belonging,comment
R00001,E0001,2024-01-27,Mid-Program,4,5,It felt like a community. Everyone helped each other out.
R00002,E0001,2024-06-15,End-of-Program,4,4,
R00003,E0002,2024-06-18,End-of-Program,3,4,The portfolio and career prep sessions were really useful.
R00004,E0003,2024-01-27,Mid-Program,4,5,
R00005,E0003,2024-06-17,End-of-Program,3,4,The portfolio and career prep sessions were really useful. Getting to the studio was hard. The bus takes forever.
R00006,E0005,2024-01-27,Mid-Program,3,4,I liked building real projects instead of just sitting through lectures. It felt like a community. Everyone helped each other out.
R00007,E0006,2024-01-27,Mid-Program,2,4,
R00008,E0006,2024-05-01,Withdrawal,2,3,My mentor was patient and explained things until I got it. Getting to the studio was hard. The bus takes forever.
R00009,E0007,2024-01-27,Mid-Program,4,5,I liked building real projects instead of just sitting through lectures.
R00010,E0008,2024-01-27,Mid-Program,5,2,"I wanted more laptop time, and the wifi was slow."
R00011,E0009,2024-01-27,Mid-Program,5,3,
R00012,E0009,2024-06-16,End-of-Program,5,4,The portfolio and career prep sessions were really useful.
R00013,E0011,2024-06-16,End-of-Program,2,3,"The schedule clashed with school and other commitments, so it was hard to keep up. I liked building real projects instead of just sitting through lectures."
R00014,E0012,2024-01-27,Mid-Program,5,4,It felt like a community. Everyone helped each other out.
R00015,E0013,2024-01-27,Mid-Program,4,3,
R00016,E0013,2024-06-18,End-of-Program,4,3,The portfolio and career prep sessions were really useful.
R00017,E0015,2024-01-27,Mid-Program,3,1,"Some weeks moved too fast and I felt lost. I work part-time and have family duties, so I missed sessions."
R00018,E0016,2024-01-27,Mid-Program,5,4,I liked building real projects instead of just sitting through lectures.
R00019,E0016,2024-06-16,End-of-Program,5,5,
R00020,E0017,2024-01-27,Mid-Program,3,5,"I wanted more laptop time, and the wifi was slow. The schedule clashed with school and other commitments, so it was hard to keep up."
R00021,E0018,2024-01-27,Mid-Program,4,5,The portfolio and career prep sessions were really useful. Getting to the studio was hard. The bus takes forever.
R00022,E0018,2024-06-15,End-of-Program,4,5,Getting to the studio was hard. The bus takes forever.
R00023,E0019,2024-01-27,Mid-Program,4,3,
R00024,E0019,2024-06-18,End-of-Program,5,3,"The schedule clashed with school and other commitments, so it was hard to keep up. It felt like a community. Everyone helped each other out."
R00025,E0020,2024-01-27,Mid-Program,5,4,
