response_id,enrollment_id,survey_date,survey_type,satisfaction,belonging,comment
R00085,E0068,04/13/2024,Mid-Program,3,4,
R00260,E0197,06/17/2026,End-of-Program,5,5,Getting to the studio was hard. The bus takes forever.
R00046,E0035,2024-01-27,Mid-Program,5,4,
R00177,E0135,2025-01-25,Mid-Program,4,5,I liked building real projects instead of just sitting through lectures.
R00144,E0112,2025-01-25,Mid-Program,2,3,My mentor was patient and explained things until I got it.
R00126,E0096,2025-02-11,End-of-Program,3,5,My mentor was patient and explained things until I got it.
R00227,E0174,06/15/2026,End-of-Program,4,4,I liked building real projects instead of just sitting through lectures.
R00119,E0092,2025-02-12,End-of-Program,4,5,MY MENTOR WAS PATIENT AND EXPLAINED THINGS UNTIL I GOT IT.
R00010,E0008,01/27/2024,Mid-Program,5,2,"I wanted more laptop time, and the wifi was slow."
R00091,E0071,2024-06-22,End-of-Program,4,4,The portfolio and career prep sessions were really useful. My mentor was patient and explained things until I got it.
R00148,E0115,2025-01-25,Mid-Program,4,4,My mentor was patient and explained things until I got it.
R00275,E0208,2026-06-16,End-of-Program,4,3,
R00034,E0027,01/27/2024,Mid-Program,4,5,It felt like a community. Everyone helped each other out. My mentor was patient and explained things until I got it.
R00280,E0215,07/18/2026,Mid-Program,5,3,test
R00229,E0175,2026-06-17,End-of-Program,4,5,
R00078,E0060,2024-07-07,End-of-Program,5,5,I was not always sure what was expected for project deadlines.
R00047,E0036,01/27/2024,Mid-Program,4,5,
R00006,E0005,2024-01-27,Mid-Program,3,4,I liked building real projects instead of just sitting through lectures. It felt like a community. Everyone helped each other out.
R00231,E0177,2026-01-24,Mid-Program,3,5,
R00263,E0199,06/17/2026,End-of-Program,4,4,The portfolio and career prep sessions were really useful. My mentor was patient and explained things until I got it.
R00125,E0096,2024-11-09,Mid-Program,4,4,My mentor was patient and explained things until I got it.
R00238,E0183,2026-06-17,End-of-Program,5,5,"I wanted more laptop time, and the wifi was slow. The portfolio and career prep sessions were really useful."
R00278,E0213,07/18/2026,Mid-Program,5,55,I liked building real projects instead of just sitting through lectures. Some weeks moved too fast and I felt lost.
R00102,E0080,2024-04-13,Mid-Program,3,3,It felt like a community. Everyone helped each other out.
R00076,E0059,07/08/2024,End-of-Program,5,4,
R00158,E0122,2025-06-15,End-of-Program,5,5,I liked building real projects instead of just sitting through lectures.
R00274,E0208,2026-01-24,Mid-Program,4,5,
R00110,E0085,2025-02-07,End-of-Program,4,5,The portfolio and career prep sessions were really useful.
R00061,E0048,2024-04-06,Mid-Program,5,5,The portfolio and career prep sessions were really useful. I liked building real projects instead of just sitting through lectures.
R00203,E0150,03/05/2025,End-of-Program,3,1,"I wanted more laptop time, and the wifi was slow."
R00043,E0033,2024-01-27,Mid-Program,5,3,The portfolio and career prep sessions were really useful.
R00057,E0045,06-Apr-2024,Mid-Program,5,4,I was not always sure what was expected for project deadlines.
R00284,E0220,2026-07-18,Mid-Program,5,5,My mentor was patient and explained things until I got it. It felt like a community. Everyone helped each other out.
R00118,E0091,2024-11-09,Mid-Program,5,4,The portfolio and career prep sessions were really useful.
R00060,E0047,2024-03-09,Withdrawal,4,3,I liked building real projects instead of just sitting through lectures.
R00166,E0128,2025-01-25,Mid-Program,5,4,It felt like a community. Everyone helped each other out. The portfolio and career prep sessions were really useful.
R00281,E0217,2026-07-18,Mid-Program,4,5,
R00114,E0089,11/09/2024,Mid-Program,3,3,It felt like a community. Everyone helped each other out. The portfolio and career prep sessions were really useful.
R00160,E0123,18-Jun-2025,End-of-Program,5,3,It felt like a community. Everyone helped each other out. The portfolio and career prep sessions were really useful.
R00064,E0049,2024-07-06,End-of-Program,5,4,I liked building real projects instead of just sitting through lectures.
R00147,E0114,2025-06-15,End-of-Program,3,4,
R00067,E0051,2024-04-06,Mid-Program,5,5,The portfolio and career prep sessions were really useful.
R00269,E0204,2026-06-17,End-of-Program,4,3,
R00159,E0123,2025-01-25,Mid-Program,5,4,The portfolio and career prep sessions were really useful.
R00182,E0138,2025-01-25,Mid-Program,5,4,My mentor was patient and explained things until I got it. It felt like a community. Everyone helped each other out.
R00031,E0025,2024-01-27,Mid-Program,5,3,The portfolio and career prep sessions were really useful.
R00023,E0019,2024-01-27,Mid-Program,4,3,
R00025,E0020,2024-01-27,Mid-Program,5,4,
R00276,E0210,2026-07-18,Mid-Program,4,4,The portfolio and career prep sessions were really useful.
R00120,E0093,11/09/2024,Mid-Program,5,4,
R00246,E0189,2026-01-24,Mid-Program,3,3,Getting to the studio was hard. The bus takes forever.
R00080,E0061,2024-07-08,End-of-Program,5,4,"I wanted more laptop time, and the wifi was slow. It felt like a community. Everyone helped each other out."
R00018,E0016,2024-01-27,Mid-Program,5,4,I liked building real projects instead of just sitting through lectures.
R00173,E0132,06/16/2025,End-of-Program,5,3,Some weeks moved too fast and I felt lost.
R00213,E0162,2025-06-28,Mid-Program,5,4,
R00178,E0135,06/13/2025,End-of-Program,4,4,The portfolio and career prep sessions were really useful. I liked building real projects instead of just sitting through lectures.
R00184,E0139,2025-01-25,Mid-Program,4,5,
R00169,E0130,2025-01-25,Mid-Program,5,5,My mentor was patient and explained things until I got it.
R00007,E0006,27-Jan-2024,Mid-Program,2,0,
R00211,E0160,06/28/2025,Mid-Program,3,4,"I work part-time and have family duties, so I missed sessions."
R00220,E0168,2026-06-12,End-of-Program,5,4,I was not always sure what was expected for project deadlines.
R00217,E0166,01/24/2026,Mid-Program,5,3,The portfolio and career prep sessions were really useful. It felt like a community. Everyone helped each other out.
R00074,E0058,04/25/2024,Withdrawal,3,3,Getting to the studio was hard. The bus takes forever. I liked building real projects instead of just sitting through lectures.
R00026,E0020,2024-06-18,End-of-Program,5,4,The portfolio and career prep sessions were really useful. I liked building real projects instead of just sitting through lectures.
R00113,E0088,2024-11-09,Mid-Program,5,5,My mentor was patient and explained things until I got it. I liked building real projects instead of just sitting through lectures.
R00149,E0115,06/18/2025,End-of-Program,4,4,
R00073,E0058,2024-04-06,Mid-Program,3,N/A,I was not always sure what was expected for project deadlines.
R00020,E0017,01/27/2024,Mid-Program,3,5,"I wanted more laptop time, and the wifi was slow. The schedule clashed with school and other commitments, so it was hard to keep up."
R00115,E0089,02/12/2025,End-of-Program,5,4,I liked building real projects instead of just sitting through lectures.
